 author ;  language; framework ; version ; multi threaded ; comment ; slowest run ; fastest run ;  measurements excl slowest and fastest 
 gsc ;  rust; axum ; v1 ; false ; impl ; 0.002226 ; 0.001965 ;  0.002034;0.002047;0.002193;0.002198;0.002199;0.002206;0.002219;0.002224 
 gsc ;  rust; axum ; v1 ; false ; impl ; 0.000486 ; 0.000362 ;  0.000415;0.000424;0.000424;0.000437;0.000441;0.000462;0.000463;0.000468 
 gsc ;  rust; axum ; v1 ; false ; impl ; 0.550274 ; 0.537084 ;  0.544416;0.545012;0.545476;0.545728;0.545876;0.546543;0.547173;0.549097 
 gsc ;  rust; axum ; v1 ; false ; impl ; 0.561324 ; 0.510134 ;  0.518795;0.521161;0.534741;0.545127;0.550437;0.551372;0.557527;0.560052 
 gsc ;  Graal VM & Kotlin 1.9.0; Spring Boot 3.2.2 ; v2 ; true ; parallel streams & dumb ; 0.242028 ; 0.207613 ;  0.210135;0.210992;0.211378;0.212358;0.213582;0.214863;0.217556;0.222121 
 gsc ;  rust; axum ; v1 ; false ; impl ; 0.526460 ; 0.473068 ;  0.478475;0.486427;0.487206;0.516443;0.522044;0.522160;0.524137;0.525875 
 gsc ;  Graal VM & Kotlin 1.9.0; Spring Boot 3.2.2 ; v2 ; true ; parallel streams & dumb ; 0.336141 ; 0.288965 ;  0.290494;0.292811;0.294342;0.295279;0.296043;0.296640;0.298094;0.304219 
 gsc ;  rust; axum ; v1 ; false ; impl ; 0.484394 ; 0.440517 ;  0.445182;0.449025;0.449552;0.450067;0.455662;0.478097;0.478198;0.484084 
 gsc ;  rust; axum ; v2 ; true ; work steal - 1 file per thread ; 0.147613 ; 0.141324 ;  0.141794;0.142071;0.142257;0.142603;0.143686;0.145561;0.145998;0.146017 
 gsc ;  Graal VM & Kotlin 1.9.0; Spring Boot 3.2.2 ; v2 ; true ; parallel streams & dumb ; 0.357369 ; 0.290414 ;  0.292122;0.293124;0.293612;0.295651;0.296545;0.312054;0.319705;0.320191 
 gsc ;  rust; axum ; v1 ; false ; impl ; 0.483038 ; 0.441888 ;  0.442196;0.444347;0.445156;0.453557;0.476481;0.477103;0.479108;0.481510 
 gsc ;  rust; axum ; v2 ; true ; work steal - 1 file per thread ; 0.146551 ; 0.139761 ;  0.140075;0.140458;0.140665;0.140941;0.141274;0.141355;0.141449;0.141539 
 gsc ;  Graal VM & Kotlin 1.9.0; Spring Boot 3.2.2 ; v2 ; true ; parallel streams & dumb ; 0.311491 ; 0.284156 ;  0.289984;0.290335;0.292173;0.293389;0.293566;0.293971;0.294924;0.309375 
 gsc ;  rust; axum ; v1 ; false ; impl ; 0.482911 ; 0.448396 ;  0.451245;0.452819;0.455068;0.458704;0.480054;0.480738;0.481516;0.481566 
 gsc ;  rust; axum ; v2 ; true ; work steal - 1 file per thread ; 0.087714 ; 0.085433 ;  0.085984;0.086101;0.086256;0.086257;0.087520;0.087660;0.087665;0.087674 
 gsc ;  Graal VM & Kotlin 1.9.0; Spring Boot 3.2.2 ; v2 ; true ; parallel streams & dumb ; 0.316484 ; 0.285392 ;  0.288795;0.289566;0.291861;0.292612;0.296064;0.296405;0.297005;0.297516 
 gsc ;  rust; axum ; v1 ; false ; impl ; 0.483854 ; 0.443453 ;  0.447687;0.449266;0.454701;0.455101;0.479786;0.481744;0.482975;0.483254 
 gsc ;  rust; axum ; v2 ; true ; work steal - 1 file per thread ; 0.064532 ; 0.063064 ;  0.063335;0.063579;0.063623;0.063681;0.063929;0.063953;0.064009;0.064185 
 gsc ;  Graal VM & Kotlin 1.9.0; Spring Boot 3.2.2 ; v2 ; true ; parallel streams & dumb ; 0.314571 ; 0.289769 ;  0.290249;0.290960;0.291525;0.292282;0.293796;0.294125;0.298249;0.298311 
 gsc ;  Graal VM & Java 21; Spring Boot 3.2.2 ; v1 ; false ; naive & dumb ; 0.001626 ; 0.001107 ;  0.001126;0.001208;0.001329;0.001352;0.001380;0.001393;0.001492;0.001533 
 gsc ;  Graal VM & Java 21; Spring Boot 3.2.2 ; v1 ; false ; naive & dumb ; 2.215936 ; 2.200052 ;  2.200484;2.209038;2.209604;2.209957;2.210959;2.212772;2.212841;2.213593 
 gsc ;  Graal VM & Java 21; Spring Boot 3.2.2 ; v1 ; false ; naive & dumb ; 1.355116 ; 1.289510 ;  1.304154;1.304738;1.310530;1.312551;1.323836;1.338018;1.342863;1.347773 
 gsc ;  Graal VM & Java 21; Spring Boot 3.2.2 ; v2 ; true ; multithreading via parallelStream ; 0.002249 ; 0.001694 ;  0.001736;0.001856;0.001897;0.001917;0.001927;0.001959;0.002069;0.002224 
 gsc ;  Graal VM & Java 21; Spring Boot 3.2.2 ; v2 ; true ; multithreading via parallelStream ; 0.002331 ; 0.001579 ;  0.001668;0.001689;0.001747;0.001762;0.001770;0.001792;0.001931;0.002076 
 gsc ;  Graal VM & Java 21; Spring Boot 3.2.2 ; v2 ; true ; multithreading via parallelStream ; 0.002352 ; 0.001631 ;  0.001643;0.001651;0.001677;0.001713;0.001783;0.001994;0.001996;0.001998 
  ;  ;  ;  ;  ;  ; 0.000366 ; 0.000175 ;  0.000176;0.000176;0.000180;0.000188;0.000204;0.000212;0.000222;0.000226 
  ;  ;  ;  ;  ;  ; 0.000350 ; 0.000143 ;  0.000152;0.000155;0.000163;0.000169;0.000170;0.000177;0.000180;0.000182 
  ;  ;  ;  ;  ;  ; 0.000361 ; 0.000178 ;  0.000179;0.000181;0.000183;0.000185;0.000185;0.000188;0.000192;0.000228 
  ;  ;  ;  ;  ;  ; 0.000344 ; 0.000188 ;  0.000189;0.000193;0.000197;0.000202;0.000216;0.000237;0.000238;0.000249 
  ;  ;  ;  ;  ;  ; 0.000349 ; 0.000065 ;  0.000067;0.000067;0.000067;0.000068;0.000068;0.000068;0.000075;0.000221 
  ;  ;  ;  ;  ;  ; 0.000331 ; 0.000067 ;  0.000068;0.000072;0.000072;0.000193;0.000210;0.000216;0.000222;0.000224 
  ;  ;  ;  ;  ;  ; 0.000306 ; 0.000172 ;  0.000175;0.000187;0.000190;0.000193;0.000198;0.000200;0.000209;0.000212 
  ;  ;  ;  ;  ;  ; 0.000350 ; 0.000071 ;  0.000213;0.000215;0.000215;0.000217;0.000223;0.000224;0.000229;0.000234 
  ;  ;  ;  ;  ;  ; 0.000389 ; 0.000064 ;  0.000066;0.000067;0.000198;0.000205;0.000210;0.000213;0.000223;0.000225 
 gsc ;  Graal VM & Java 21; Spring Boot 3.2.2 ; v2 ; true ; multithreading via parallelStream ; 0.002041 ; 0.001374 ;  0.001410;0.001432;0.001464;0.001592;0.001684;0.001705;0.001722;0.001898 
  ;  ;  ;  ;  ;  ; 0.000347 ; 0.000153 ;  0.000171;0.000172;0.000174;0.000176;0.000180;0.000183;0.000184;0.000188 
  ;  ;  ;  ;  ;  ; 0.000370 ; 0.000064 ;  0.000065;0.000069;0.000203;0.000204;0.000205;0.000208;0.000212;0.000227 
  ;  ;  ;  ;  ;  ; 0.000083 ; 0.000060 ;  0.000061;0.000062;0.000063;0.000064;0.000066;0.000067;0.000068;0.000081 
  ;  ;  ;  ;  ;  ; 0.000248 ; 0.000145 ;  0.000155;0.000164;0.000165;0.000167;0.000167;0.000170;0.000184;0.000190 
  ;  ;  ;  ;  ;  ; 0.000403 ; 0.000177 ;  0.000179;0.000186;0.000209;0.000210;0.000214;0.000231;0.000235;0.000237 
 gsc ;  rust; warp ; v1 ; false ; none ; 0.000204 ; 0.000168 ;  0.000180;0.000194;0.000194;0.000194;0.000195;0.000195;0.000201;0.000201 
  ;  ;  ;  ;  ;  ; 0.000089 ; 0.000059 ;  0.000061;0.000062;0.000064;0.000066;0.000066;0.000067;0.000068;0.000083 
  ;  ;  ;  ;  ;  ; 0.000087 ; 0.000062 ;  0.000062;0.000063;0.000064;0.000064;0.000066;0.000066;0.000068;0.000074 
 gsc ;  rust; warp ; v1 ; false ; none ; 97.316834 ; 85.786788 ;  86.308753;88.432044;89.022147;91.052958;95.200977;95.359455;95.416561;95.798601 
 gsc ;  rust; warp ; v1 ; false ; none ; 0.000325 ; 0.000244 ;  0.000246;0.000283;0.000288;0.000295;0.000300;0.000302;0.000313;0.000318 
 gsc ;  rust; warp ; v1 ; false ; none ; 0.000299 ; 0.000231 ;  0.000232;0.000252;0.000268;0.000269;0.000272;0.000275;0.000296;0.000298 
 gsc ;  rust; warp ; v1 ; false ; none ; 0.000342 ; 0.000218 ;  0.000242;0.000250;0.000258;0.000280;0.000286;0.000295;0.000295;0.000306 
